Project,Project_Name,Brief_Description,Total,Desc,Desc_Rate,Comp,Comp_Rate,Linked,Link_Rate,Start_Year,Still_Active_2026
CELEBORN,Apache Celeborn,Remote shuffle service designed for large-scale data processing engines.,1286,513,0.399,0,0,-1,-0.001,2024,Yes
CASSSIDECAR,Apache Cassandra Sidecar,"Sidecar service for Apache Cassandra to support operations, management, and integrations.",212,211,0.995,195,0.92,-1,-0.005,2023,Yes
IOTDB,Apache IoTDB,Time-series database for IoT and industrial monitoring data.,1954,1470,0.752,455,0.233,-1,-0.001,2023,Yes
HOP,Apache Hop,"Platform for data orchestration, transformation, and workflow automation.",386,325,0.842,297,0.769,-1,-0.003,2022,Yes
SEDONA,Apache Sedona,Cluster computing system for large-scale geospatial data processing.,428,284,0.664,0,0,-1,-0.002,2022,Yes
GOBBLIN,Apache Gobblin,"Data integration, ingestion, and replication framework.",338,218,0.645,106,0.314,-1,-0.003,2021,Yes
YUNIKORN,Apache YuniKorn,"Universal, cloud-native resource scheduler for batch and container workloads.",733,702,0.958,612,0.835,-1,-0.001,2020,Yes
HDDS,Apache Ozone,Storage layer for the Ozone object store and HDFS.,1627,1545,0.95,887,0.545,-1,-0.001,2020,Yes
ASTERIXDB,Apache AsterixDB,"Open-source, scalable data management system for semi-structured and big data.",194,174,0.897,164,0.845,-1,-0.005,2020,Yes
HUDI,Apache Hudi,Lakehouse storage framework for incremental data pipelines and upserts.,2884,1874,0.65,1502,0.521,-1,0,2020,Yes
SYSTEMDS,Apache SystemDS,Machine learning system for end-to-end data science and linear algebra workloads.,228,75,0.329,67,0.294,-1,-0.004,2020,Yes
MRESOLVER,Apache Maven Artifact Resolver,Library that resolves Maven artifacts and dependency graphs.,139,126,0.906,124,0.892,-1,-0.007,2019,Yes
MINIFICPP,Apache MiNiFi C++,Lightweight C++ agent for collecting and moving data at the edge.,573,451,0.787,0,0,-1,-0.002,2019,Yes
DAFFODIL,Apache Daffodil,Implementation of DFDL for parsing and unparsing text and binary data formats.,158,156,0.987,152,0.962,-1,-0.006,2018,Yes
RATIS,Apache Ratis,Java library implementing the Raft consensus protocol for replicated state machines.,352,335,0.952,306,0.869,-1,-0.003,2018,Yes
SCB,Apache ServiceComb,Microservices framework and ecosystem for building cloud-native services.,366,95,0.26,243,0.664,-1,-0.003,2018,Yes
IMPALA,Apache Impala,Massively parallel SQL query engine for data stored in Hadoop and related systems.,1083,1051,0.97,736,0.68,-1,-0.001,2017,Yes
FINERACT,Apache Fineract,"Open platform for core banking, lending, and financial services.",353,330,0.935,99,0.28,-1,-0.003,2017,Yes
GUACAMOLE,Apache Guacamole,"Clientless remote desktop gateway supporting protocols such as RDP, VNC, and SSH.",261,252,0.966,217,0.831,-1,-0.004,2016,Yes
